age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative
65+,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,wick_9b34fde1c80b40f79d064c28b5328288fc00a3c202d279606dfed113,"Over $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,No,IVR,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",About the same,Disagree,Female,Word of God,Agree,Can't be too careful,wick_db4550fad2d17eefe87942514035af779763627817628fe20085492d,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Disagree,Male,Book of fables,Don't know,Can trust,wick_c61d1c12f2fb12833cc7a16e20e20215d5508173b5c2f2c31d6d6791,"Between $100,000 and $150,000",Another county in Georgia,Already voted,Other,Joe Biden,Yes,IVR,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can trust,wick_f87461299869301731fa7b44bac12f4b90f77348f645e3eca00c359c,"Between $50,000 and $74,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_e5771abb80a1d85b9246b16e79a37b35cffcc6821d9bc6d1646cf3a3,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_3aeb0779c4cbc2e537d3170d3177ddfbe3856c92712d791790fcec48,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Completed graduate school,More enthusiastic,Don't know,Male,Word of God,Don't know,Can trust,wick_d6a39b5869fac69902a8f211b5a02bbb1e7c344f76dac65a23064d06,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_069b5810660e5bd42578c8d9a948f281a3c5f8e919eeb60cb519d75e,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can trust,wick_0b39aa903a5f778f4ee62841550bc720b8a1a700cede1534fba31f29,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from high school,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_cd2dea2ddbbbad5a41387787fe39fc4fcbf70a65071e03a4194be3e6,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Less than high school,More enthusiastic,Agree,Male,Word of God,Agree,Don't know,wick_4b70f743dd62f1108388e15272c25d63a4f81642f7ad4011cf61f3bf,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Don't know,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Undecided,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_d224e1e98f48668250e2adcf3702abcb43b9bc4d2083bb2aa4e58aef,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_79c5de0a834e4da736fa871d930cf914af0b4a7fce0b5cbe0d7ac6df,"Between $50,000 and $74,999","Gwinnett County, GA",Very likely,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Agree,Male,Inspired word,Agree,Can trust,wick_d1f5ced01ea38004700270b0d79e53ed0f09de3874efdfaaef6976b6,"Under $15,000",Another county in Georgia,Somewhat likely,"White, not Hispanic",Joe Biden,No,IVR,Other,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Disagree,Can trust,wick_dc1e92b3f54e8460b7d504df04e3cc3c0ade77da4c410fba857ce713,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,More enthusiastic,Don't know,Female,I don't know,Don't know,Can't be too careful,wick_6667fbef6010fe1453afb55d13e55f566e66ac5e9c66132fa2807820,"Between $50,000 and $74,999","Fulton County, GA",Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,wick_22fbeb4b4e478bfdac8bbff33d721ccc2ff016086a29987b278cfaed,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Don't know,Can't be too careful,wick_3ad71ebe1b6354b4d9e513eabcb56149c7be0dea30e6e5af66ec8a6f,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,Jon Ossoff,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Unsure,"Some college, no degree",About the same,Don't know,Female,I don't know,Agree,Don't know,wick_b0246cf9364fca83b5c11411f7e065080368aa2fa03faf02e71d991c,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_073f2697501b41618b7dab52bf5f1ee81bdb21944aec32d85229b8ba,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from high school,More enthusiastic,Disagree,Female,Word of God,Agree,Can't be too careful,wick_2151715185e7583c419c0b4e2586038384277d094841a9b3663b281c,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_719857a03ab05616158655f3cf81e53207a0d9fc4700a741d394fcce,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_91aea74127372d91fbe5aff5608ae43b06931624e07b151891cd7cfe,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Completed graduate school,About the same,Don't know,Male,Book of fables,Don't know,Don't know,wick_30b5a3c4e83dbe1223a187408a648762f1b25af754860c7e82f8a05a,"Between $100,000 and $150,000","Fulton County, GA",Already voted,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Completed graduate school,More enthusiastic,Agree,Female,Word of God,Agree,Can trust,wick_d912098cd9b03318068aab04cca9d7d49353216d3a5f99a9ac25f0a3,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,More enthusiastic,Don't know,Female,I don't know,Don't know,Can trust,wick_dfc1188401989716b3c4f0c52339735c2f93eff45acf79e7fcf5389f,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Agree,Female,Word of God,Agree,Can trust,wick_cfba072de95cfec78a9024a96dfa96d1a7dfd71c20883d4ddadecdec,"Between $15,000 and $49,999","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,Less enthusiastic,Don't know,Female,I don't know,Disagree,Can't be too careful,wick_a6b2a4a8a15ed4acaeef40207f86dbfcab200f167c9b53b5581d18bb,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Undecided,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can trust,wick_4809e619302d17a9a91d1184d14ef496d722226938cf3889fca81b8b,"Between $100,000 and $150,000","Cobb County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Other,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,wick_2744b58ae29c6dd422f68d654f64ac2c2d2f319e876181655cf0af97,"Between $75,000 and $99,999","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Unsure,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Agree,Don't know,wick_9769ac2d71bfb33b2cff6e7487971c37667a15543e1ef44061b8026d,"Between $15,000 and $49,999",Another county in Georgia,Somewhat likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Yes,Graduated from college,More enthusiastic,Don't know,Male,I don't know,Agree,Can trust,wick_9f16b49621142b8ae79e7dca69d20c74a0e4a521808a0ec8f011784f,"Under $15,000",Another county in Georgia,Already voted,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_c52ccd43bb9061dadc149c6094e13733abfba8c016e693597b17f1d3,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Graduated from high school,Less enthusiastic,Don't know,Male,Book of fables,Agree,Can't be too careful,wick_f0306aa92026b73de27de57441c7293c073d55ffd165aaa82ae43aee,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Graduated from college,About the same,Don't know,Female,Word of God,Agree,Can't be too careful,wick_948d7dee3373bfde156e537822a20f588d4ace940a99a55261960950,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,Less enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,wick_a7d3066cc3df722f2410e81b0dc5225c1ac3c286a9fccf114ad765d7,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,wick_487b2406710ad49d78cf0ecf60a84e1871ae410bc760cf8a416430d2,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Unsure,Graduated from college,About the same,Don't know,Female,I don't know,Don't know,Can't be too careful,wick_d913a60a93074db39b6d50bde09ccd168ce6d1d1f7a81ec8cecbcb71,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,No,IVR,Did not vote,Other,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_374c42bc167fecc4d43a0717911cba3f83a7502e27491476ced84841,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Unsure,Graduated from high school,About the same,Agree,Female,I don't know,Don't know,Can't be too careful,wick_8f12b16fcd2ce5bb3d248172b37a5a63032ebcfbdce9a01afa531784,"Under $15,000",Another county in Georgia,Somewhat likely,"Black, non-Hispanic",Don't know,No,IVR,Did not vote,Did not vote,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Unsure,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_81c5cb088be5a8cd1d9e2c92f112213cff614acc720a6b1dd89824bf,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Graduated from high school,Less enthusiastic,Don't know,Male,Word of God,Disagree,Can't be too careful,wick_c854c90fb83659673f3adbe6ac6fecc467e643d75c679f9c8b0c3d76,"Under $15,000",Another county in Georgia,Already voted,Hispanic,Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Yes,Graduated from college,More enthusiastic,Agree,Male,Inspired word,Disagree,Can trust,wick_c6cd8185841e7e138762208b42902d09b4570e8c70a118dd82fca580,"Between $50,000 and $74,999",Another county in Georgia,Already voted,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,I don't know,Agree,Can trust,wick_cb006a0d37ff8cb5d4b2c94c921f5178aef6105d8a512a1b2842a965,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Yes,"Some college, no degree",About the same,Don't know,Male,Inspired word,Don't know,Can't be too careful,wick_bebdbceb4d5de2775d872e8281cc15d96e673fe86e487b49e7a920ef,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,I will vote on election day,Undecided,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from high school,About the same,Don't know,Male,Word of God,Agree,Can trust,wick_74ccce4f9546abb0564e3315ea652ef952952cca6554948da63e635f,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Completed graduate school,About the same,Agree,Female,Inspired word,Don't know,Can't be too careful,wick_c717080b1f6a823c7308d284775a558cfdc5b56c8a1fc20eb0b1d1ad,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Completed graduate school,More enthusiastic,Disagree,Male,Inspired word,Don't know,Can trust,wick_7ae3499249f5264a6386bfd91ce39472f1dc43032f0050f1e3faa2a9,"Between $50,000 and $74,999","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,"Some college, no degree",Less enthusiastic,Don't know,Female,I don't know,Agree,Can't be too careful,wick_0bb22170f2368363547335123dec8389fb47a8b55ce9c4d49b08f7c2,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Did not vote,Joe Biden,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,Unsure,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Agree,Can trust,wick_b5852c1b06492c7ca8158c5c19a85e65a0bd182bff506b28e4f74693,"Between $100,000 and $150,000","Cobb County, GA",Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,wick_2141fadf1d46aec2509aec1f462e5010a52dd4404a00622998cebbca,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,wick_c0ed0e255b15527e347d6024ae22e028b4833e464e7cb75bc6620591,"Between $15,000 and $49,999",Another county in Georgia,Very likely,Other,Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,More enthusiastic,Agree,Male,Word of God,Agree,Can trust,wick_a26e200afa5a6d85169a5d6d52ea7860db901eef6cf22c27a5272bd4,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,wick_496b17e7520f8b03496d7206461b76a12ec945e8ab07f91eaa487a8e,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Completed graduate school,Less enthusiastic,Disagree,Female,Word of God,Don't know,Can't be too careful,wick_729095e0a6a3974a35b1e5b6fbd7120003d90613e3c7c6b924a3233e,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,Unsure,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_0804f88bb5daf3642c714853d2921e1711f4b13868dd9559130a3c4c,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_c1c679bfd056f29526dcd94ab686f59395e13e4e99bc415738c54954,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
65+,No,Graduated from college,More enthusiastic,Disagree,Male,Inspired word,Don't know,Can trust,wick_25bd84d18bcac5d0deb32d60216009bfe4c3b65630d45a24d3666f31,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented
